game,data,age,team,opp,result,started,minutes,fg,fga,fgp,fg3,fg3a,fg3p,ft,fta,ftp,orb,drb,totrb,ast,stl,blk,tov,fouls,points
19,2001-12-11,38-297,WAS,MEM,W (+10),1,30:40,8,19,.421,0,1,.000,0,0,,0,6,6,9,0,0,0,2,16
20,2001-12-12,38-298,WAS,MIA,W (+2),1,34:07,9,23,.391,0,1,.000,7,11,.636,0,6,6,7,1,1,1,0,25
21,2001-12-14,38-300,WAS,NYK,W (+16),1,33:35,8,19,.421,0,1,.000,3,3,1.000,0,6,6,6,1,2,5,4,19
22,2001-12-16,38-302,WAS,TOR,W (+5),1,35:37,8,21,.381,0,0,,5,6,.833,2,2,4,3,3,0,4,3,21
23,2001-12-19,38-305,WAS,ATL,W (+27),1,26:49,11,19,.579,0,1,.000,1,1,1.000,1,3,4,6,1,1,2,2,23
24,2001-12-21,38-307,WAS,ORL,W (+18),1,33:33,3,16,.188,0,0,,6,6,1.000,3,3,6,8,1,0,3,1,12
25,2001-12-22,38-308,WAS,NYK,W (+1),1,36:20,11,22,.500,0,0,,4,7,.571,0,1,1,3,1,0,4,2,26
26,2001-12-26,38-312,WAS,CHH,L (-6),1,34:54,11,28,.393,1,2,.500,5,6,.833,1,3,4,7,1,0,3,4,28
27,2001-12-27,38-313,WAS,IND,L (-27),1,25:13,2,10,.200,1,2,.500,1,2,.500,2,2,4,4,0,0,4,1,6
28,2001-12-29,38-315,WAS,CHH,W (+17),1,38:13,21,38,.553,0,2,.000,9,10,.900,2,5,7,4,3,0,4,3,51
29,2001-12-31,38-317,WAS,NJN,W (+22),1,38:28,16,32,.500,1,3,.333,12,13,.923,0,10,10,7,3,0,3,2,45
30,2002-01-04,38-321,WAS,CHI,W (+6),1,37:56,9,24,.375,0,2,.000,11,13,.846,0,7,7,3,2,2,5,4,29
31,2002-01-08,38-325,WAS,LAC,W (+8),1,42:22,9,24,.375,0,0,,0,1,.000,2,8,10,8,1,0,4,1,18
32,2002-01-11,38-328,WAS,MIL,L (-19),1,32:37,10,24,.417,0,0,,2,4,.500,0,3,3,3,1,0,6,2,22
33,2002-01-12,38-329,WAS,MIN,L (-8),1,40:09,14,30,.467,0,0,,7,7,1.000,0,6,6,4,1,1,5,2,35
